stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.031634199898689985,,0.013794699683785439,0.031634199898689985,0.5336988996714354,0.5336988996714354,0.5481747998856008,0.8483842997811735,3.6018979996442795,right,10.0,1,1,3.0590173001401126,627602,001,2024-09-06_11h40.24.873,adaptive_staircase,2024.1.5,None,2024-09-06 11h40.28.981614 +0530,
1,2,8.0,3.6146933999843895,,3.601975499652326,3.6146933999843895,4.114736800082028,4.114736800082028,4.114736800082028,4.414742599707097,4.599373799748719,right,8.0,1,1,0.4754723999649286,627602,001,2024-09-06_11h40.24.873,adaptive_staircase,2024.1.5,None,2024-09-06 11h40.28.981614 +0530,
2,2,6.0,4.61461429996416,,4.599438899662346,4.61461429996416,5.11510179983452,5.11510179983452,5.11510179983452,5.41480359993875,5.682378999888897,left,-6.0,1,1,0.5636714999563992,627602,001,2024-09-06_11h40.24.873,adaptive_staircase,2024.1.5,None,2024-09-06 11h40.28.981614 +0530,
3,1,4.0,5.698285199701786,,5.682441999670118,5.698285199701786,6.1812752997502685,6.1812752997502685,6.19809539988637,6.481705099809915,6.53235419979319,right,4.0,0,0,0.3408677000552416,627602,001,2024-09-06_11h40.24.873,adaptive_staircase,2024.1.5,None,2024-09-06 11h40.28.981614 +0530,
4,1,5.0,6.54819509992376,,6.532417600043118,6.54819509992376,7.031348600052297,7.031348600052297,7.048333999700844,7.331328900065273,7.648815699853003,left,-5.0,1,1,0.6070175999775529,627602,001,2024-09-06_11h40.24.873,adaptive_staircase,2024.1.5,None,2024-09-06 11h40.28.981614 +0530,
5,1,5.0,7.665107799693942,,7.648871299810708,7.665107799693942,8.148510199971497,8.148510199971497,8.164718399755657,8.448087200056762,8.599001199938357,right,5.0,1,1,0.44533879961818457,627602,001,2024-09-06_11h40.24.873,adaptive_staircase,2024.1.5,None,2024-09-06 11h40.28.981614 +0530,
6,1,5.0,8.614929500035942,,8.599061399698257,8.614929500035942,9.09837569994852,9.09837569994852,9.11461059981957,9.398052100092173,9.515665299724787,right,5.0,0,0,0.40365489991381764,627602,001,2024-09-06_11h40.24.873,adaptive_staircase,2024.1.5,None,2024-09-06 11h40.28.981614 +0530,
7,1,6.0,9.531776499934494,,9.51573000010103,9.531776499934494,10.014968399889767,10.014968399889767,10.031683499924839,10.314801800064743,10.349015099927783,left,-6.0,1,1,0.32317750016227365,627602,001,2024-09-06_11h40.24.873,adaptive_staircase,2024.1.5,None,2024-09-06 11h40.28.981614 +0530,
8,1,6.0,10.364929399918765,,10.349091399926692,10.364929399918765,10.865249099675566,10.865249099675566,10.865249099675566,11.165148699656129,11.532405799720436,left,-6.0,0,0,0.661907700356096,627602,001,2024-09-06_11h40.24.873,adaptive_staircase,2024.1.5,None,2024-09-06 11h40.28.981614 +0530,
9,1,7.0,11.548199799843132,,11.532463799696416,11.548199799843132,12.048117599915713,12.048117599915713,12.048117599915713,12.348391099832952,12.482423899695277,left,-7.0,1,1,0.4284797003492713,627602,001,2024-09-06_11h40.24.873,adaptive_staircase,2024.1.5,None,2024-09-06 11h40.28.981614 +0530,
10,1,7.0,12.498249699827284,,12.482527100015432,12.498249699827284,12.98164779972285,12.98164779972285,12.998386799823493,13.281503499951214,13.450209700036794,right,7.0,0,0,0.4645203002728522,627602,001,2024-09-06_11h40.24.873,adaptive_staircase,2024.1.5,None,2024-09-06 11h40.28.981614 +0530,
11,1,8.0,13.464740700088441,,13.450300799682736,13.464740700088441,13.964729500003159,13.964729500003159,13.964729500003159,14.26474649971351,14.48264619987458,right,8.0,0,0,0.5043819998390973,627602,001,2024-09-06_11h40.24.873,adaptive_staircase,2024.1.5,None,2024-09-06 11h40.28.981614 +0530,
12,1,9.0,14.4981709998101,,14.482709199655801,14.4981709998101,14.998445499688387,14.998445499688387,14.998445499688387,15.298295599874109,15.499201300088316,left,-9.0,0,0,0.48540470004081726,627602,001,2024-09-06_11h40.24.873,adaptive_staircase,2024.1.5,None,2024-09-06 11h40.28.981614 +0530,
13,1,10.0,15.514696899801493,,15.499260699842125,15.514696899801493,16.01467699976638,16.01467699976638,16.01467699976638,16.31473289988935,16.3995920997113,left,-10.0,1,1,0.3810767000541091,627602,001,2024-09-06_11h40.24.873,adaptive_staircase,2024.1.5,None,2024-09-06 11h40.28.981614 +0530,
14,1,10.0,16.415006400085986,,16.399665999691933,16.415006400085986,16.91507550003007,16.91507550003007,16.91507550003007,17.215160499792546,17.615659599658102,right,10.0,0,0,0.6859336998313665,627602,001,2024-09-06_11h40.24.873,adaptive_staircase,2024.1.5,None,2024-09-06 11h40.28.981614 +0530,
15,1,11.0,17.63167899986729,,17.615723699796945,17.63167899986729,18.114746099803597,18.114746099803597,18.132064399775118,18.4148432998918,18.632634500041604,right,11.0,0,0,0.5016737999394536,627602,001,2024-09-06_11h40.24.873,adaptive_staircase,2024.1.5,None,2024-09-06 11h40.28.981614 +0530,
16,1,12.0,18.64815409993753,,18.632696100044996,18.64815409993753,19.148215499706566,19.148215499706566,19.148215499706566,19.44823639979586,19.549143800046295,left,-12.0,1,1,0.3852123999968171,627602,001,2024-09-06_11h40.24.873,adaptive_staircase,2024.1.5,None,2024-09-06 11h40.28.981614 +0530,
,,,19.56529269972816,,19.549200299661607,19.56529269972816,20.048569799866527,20.048569799866527,20.064821399748325,20.34849420003593,,,,,,,,,,,,,,
