stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0285363,,0.0104288,0.0285363,0.5677057,0.5677057,0.5784693,0.8783714,1.384366,right,10,1,1,0.8064035,457387,1,2024-09-09_23h30.30.340,adaptive_staircase,2024.1.5,None,2024-09-09 23h30.36.465327 +0530
1,2,8,1.3950255,,1.3845124,1.3950255,1.8950534,1.8950534,1.8950534,2.1950397,2.3964785,right,8,1,1,0.4978828,457387,1,2024-09-09_23h30.30.340,adaptive_staircase,2024.1.5,None,2024-09-09 23h30.36.465327 +0530
2,2,6,2.4118965,,2.3966125,2.4118965,2.9117054,2.9117054,2.9117054,3.2140831,3.3341369,left,-6,1,1,0.4189368,457387,1,2024-09-09_23h30.30.340,adaptive_staircase,2024.1.5,None,2024-09-09 23h30.36.465327 +0530
3,2,4,3.347693,,3.3343831,3.347693,3.8481174,3.8481174,3.8481174,4.1488851,4.2691408,right,4,1,1,0.4173774,457387,1,2024-09-09_23h30.30.340,adaptive_staircase,2024.1.5,None,2024-09-09 23h30.36.465327 +0530
4,2,2,4.2956921,,4.2694514,4.2956921,4.7811083,4.7811083,4.7980565,5.0816674,5.1184296,left,-2,1,1,0.3340432,457387,1,2024-09-09_23h30.30.340,adaptive_staircase,2024.1.5,None,2024-09-09 23h30.36.465327 +0530
5,2,1,5.1454785,,5.1187756,5.1454785,5.6308659,5.6308659,5.6475062,5.9321883,6.0357036,left,-1,1,1,0.3876254,457387,1,2024-09-09_23h30.30.340,adaptive_staircase,2024.1.5,None,2024-09-09 23h30.36.465327 +0530
6,2,1,6.0617992,,6.0360211,6.0617992,6.5486028,6.5486028,6.5651483,6.8485801,6.919071,left,-1,1,1,0.3575065,457387,1,2024-09-09_23h30.30.340,adaptive_staircase,2024.1.5,None,2024-09-09 23h30.36.465327 +0530
7,2,1,6.945509,,6.9193854,6.945509,7.4316842,7.4316842,7.4485992,7.7456828,7.7203111,left,-1,1,1,0.2787485,457387,1,2024-09-09_23h30.30.340,adaptive_staircase,2024.1.5,None,2024-09-09 23h30.36.465327 +0530
8,1,1,7.7456828,,7.7206296,7.7456828,8.2323593,8.2323593,8.2486134,8.5326777,8.5521842,right,1,0,0,0.3097537,457387,1,2024-09-09_23h30.30.340,adaptive_staircase,2024.1.5,None,2024-09-09 23h30.36.465327 +0530
9,1,2,8.5792021,,8.5525187,8.5792021,9.0657364,9.0657364,9.0818974,9.3658775,9.4018108,left,-2,1,1,0.3243862,457387,1,2024-09-09_23h30.30.340,adaptive_staircase,2024.1.5,None,2024-09-09 23h30.36.465327 +0530
10,1,2,9.4290443,,9.4020924,9.4290443,9.9149439,9.9149439,9.931887,10.2160556,10.2524214,left,-2,1,1,0.3309322,457387,1,2024-09-09_23h30.30.340,adaptive_staircase,2024.1.5,None,2024-09-09 23h30.36.465327 +0530
11,1,2,10.2790451,,10.2527613,10.2790451,10.7652799,10.7652799,10.7817911,11.0789074,11.0535266,right,2,0,0,0.2850854,457387,1,2024-09-09_23h30.30.340,adaptive_staircase,2024.1.5,None,2024-09-09 23h30.36.465327 +0530
12,1,3,11.0789074,,11.0538132,11.0789074,11.5655564,11.5655564,11.5824165,11.8662373,11.9508311,right,3,0,0,0.3756617,457387,1,2024-09-09_23h30.30.340,adaptive_staircase,2024.1.5,None,2024-09-09 23h30.36.465327 +0530
